,play time
0,游戏时长 55小时33分钟
1,游戏时长 253小时9分钟
2,游戏时长 271小时45分钟
3,游戏时长 227小时22分钟
4,游戏时长 117小时46分钟
5,游戏时长 308小时46分钟
6,游戏时长 165小时28分钟
7,游戏时长 119小时32分钟
8,游戏时长 207小时38分钟
9,游戏时长 231小时29分钟
10,游戏时长 116小时4分钟
11,游戏时长 257小时33分钟
12,游戏时长 272小时5分钟
13,游戏时长 229小时25分钟
14,游戏时长 110小时8分钟
15,游戏时长 93小时44分钟
16,游戏时长 2小时12分钟
17,游戏时长 15小时5分钟
18,游戏时长 130小时23分钟
19,游戏时长 104小时39分钟
20,游戏时长 55小时33分钟
21,游戏时长 253小时9分钟
22,游戏时长 271小时45分钟
23,游戏时长 227小时22分钟
24,游戏时长 117小时46分钟
25,游戏时长 308小时46分钟
26,游戏时长 165小时28分钟
27,游戏时长 119小时32分钟
28,游戏时长 207小时38分钟
29,游戏时长 231小时29分钟
30,游戏时长 116小时4分钟
31,游戏时长 257小时33分钟
32,游戏时长 272小时5分钟
33,游戏时长 229小时25分钟
34,游戏时长 110小时8分钟
35,游戏时长 93小时44分钟
36,游戏时长 2小时12分钟
37,游戏时长 15小时5分钟
38,游戏时长 130小时23分钟
39,游戏时长 104小时39分钟
40,游戏时长 106小时38分钟
41,游戏时长 132小时55分钟
42,游戏时长 140小时22分钟
43,游戏时长 197小时40分钟
44,游戏时长 12小时35分钟
45,游戏时长 195小时29分钟
46,游戏时长 76小时9分钟
47,游戏时长 447小时47分钟
48,游戏时长 51小时40分钟
49,游戏时长 232小时8分钟
50,游戏时长 240小时40分钟
51,游戏时长 22小时30分钟
52,游戏时长 144小时15分钟
53,游戏时长 86小时40分钟
54,游戏时长 98小时56分钟
55,游戏时长 218小时20分钟
56,游戏时长 108小时55分钟
57,游戏时长 93小时23分钟
58,游戏时长 34小时41分钟
59,游戏时长 11小时42分钟
60,游戏时长 44小时40分钟
61,游戏时长 36小时6分钟
62,游戏时长 325小时38分钟
63,游戏时长 147小时7分钟
64,游戏时长 287小时36分钟
65,游戏时长 135小时9分钟
66,游戏时长 69小时43分钟
67,游戏时长 97小时56分钟
68,游戏时长 98小时50分钟
69,游戏时长 149小时17分钟
70,游戏时长 65小时48分钟
71,游戏时长 104小时37分钟
72,游戏时长 96小时55分钟
73,游戏时长 1小时42分钟
74,游戏时长 212小时7分钟
75,游戏时长 203小时6分钟
76,游戏时长 193小时26分钟
77,游戏时长 202小时46分钟
78,游戏时长 97小时16分钟
79,游戏时长 264小时32分钟
80,游戏时长 54小时34分钟
81,游戏时长 199小时56分钟
82,游戏时长 4小时58分钟
83,游戏时长 74小时49分钟
84,游戏时长 125小时17分钟
85,游戏时长 152小时41分钟
86,游戏时长 128小时13分钟
87,游戏时长 81小时22分钟
88,游戏时长 126小时
89,游戏时长 42小时19分钟
90,游戏时长 83小时
91,游戏时长 20小时51分钟
92,游戏时长 17小时12分钟
93,游戏时长 117小时18分钟
94,游戏时长 22小时27分钟
95,游戏时长 4小时51分钟
96,游戏时长 11小时
97,游戏时长 22小时18分钟
98,游戏时长 137小时56分钟
99,游戏时长 78小时48分钟
100,游戏时长 193小时39分钟
101,游戏时长 33小时11分钟
102,游戏时长 1小时50分钟
103,游戏时长 101小时
104,游戏时长 224小时39分钟
105,游戏时长 37小时56分钟
106,游戏时长 127小时58分钟
107,游戏时长 22小时34分钟
108,游戏时长 51小时1分钟
109,游戏时长 2分钟
110,游戏时长 99小时10分钟
111,游戏时长 4小时14分钟
112,游戏时长 371小时1分钟
113,游戏时长 102小时40分钟
114,游戏时长 135小时43分钟
115,游戏时长 16小时39分钟
116,游戏时长 42小时31分钟
117,游戏时长 7小时18分钟
118,游戏时长 72小时21分钟
119,游戏时长 54分钟
120,游戏时长 206小时10分钟
121,游戏时长 405小时12分钟
122,游戏时长 29小时6分钟
123,游戏时长 129小时55分钟
124,游戏时长 189小时38分钟
125,游戏时长 281小时16分钟
126,游戏时长 164小时
127,游戏时长 10小时26分钟
128,游戏时长 15小时23分钟
129,游戏时长 111小时4分钟
130,游戏时长 2小时3分钟
131,游戏时长 177小时51分钟
132,游戏时长 104小时31分钟
133,游戏时长 108小时26分钟
134,游戏时长 159小时10分钟
135,游戏时长 130小时35分钟
136,游戏时长 152小时34分钟
137,游戏时长 277小时55分钟
138,游戏时长 313小时52分钟
139,游戏时长 77小时40分钟
140,游戏时长 145小时27分钟
141,游戏时长 1小时31分钟
142,游戏时长 191小时18分钟
143,游戏时长 19小时23分钟
144,游戏时长 55小时29分钟
145,游戏时长 49小时29分钟
146,游戏时长 25小时55分钟
147,游戏时长 394小时1分钟
148,游戏时长 20小时9分钟
149,游戏时长 26分钟
150,游戏时长 376小时51分钟
151,游戏时长 17小时43分钟
152,游戏时长 295小时18分钟
153,游戏时长 77小时38分钟
154,游戏时长 63小时54分钟
155,游戏时长 38小时30分钟
156,游戏时长 144小时33分钟
157,游戏时长 115小时20分钟
158,游戏时长 146小时52分钟
159,游戏时长 216小时50分钟
160,游戏时长 12小时20分钟
161,游戏时长 95小时50分钟
162,游戏时长 112小时50分钟
163,游戏时长 126小时59分钟
164,游戏时长 452小时40分钟
165,游戏时长 141小时27分钟
166,游戏时长 155小时56分钟
167,游戏时长 112小时59分钟
168,游戏时长 1小时27分钟
169,游戏时长 49小时55分钟
170,游戏时长 8小时22分钟
171,游戏时长 67小时28分钟
172,游戏时长 110小时12分钟
173,游戏时长 401小时45分钟
174,游戏时长 12小时42分钟
175,游戏时长 56小时31分钟
176,游戏时长 121小时21分钟
177,游戏时长 105小时57分钟
178,游戏时长 186小时28分钟
179,游戏时长 96小时14分钟
180,游戏时长 89小时28分钟
181,游戏时长 285小时13分钟
182,游戏时长 149小时41分钟
183,游戏时长 39小时17分钟
184,游戏时长 125小时37分钟
185,游戏时长 76小时52分钟
186,游戏时长 149小时29分钟
187,游戏时长 20小时15分钟
188,游戏时长 105小时26分钟
189,游戏时长 126小时41分钟
190,游戏时长 237小时10分钟
191,游戏时长 34分钟
192,游戏时长 98小时15分钟
193,游戏时长 69小时28分钟
194,游戏时长 194小时4分钟
195,游戏时长 98小时17分钟
196,游戏时长 1小时35分钟
197,游戏时长 163小时19分钟
198,游戏时长 8小时3分钟
199,游戏时长 11小时21分钟
200,游戏时长 73小时14分钟
201,游戏时长 91小时11分钟
202,游戏时长 163小时30分钟
203,游戏时长 64小时7分钟
204,游戏时长 173小时49分钟
205,游戏时长 5小时23分钟
206,游戏时长 80小时35分钟
207,游戏时长 14小时38分钟
208,游戏时长 301小时38分钟
209,游戏时长 220小时47分钟
210,游戏时长 261小时6分钟
211,游戏时长 227小时55分钟
212,游戏时长 32小时18分钟
213,游戏时长 38小时25分钟
214,游戏时长 154小时14分钟
215,游戏时长 32小时49分钟
216,游戏时长 54小时23分钟
217,游戏时长 15小时49分钟
218,游戏时长 97小时39分钟
219,游戏时长 71小时27分钟
220,游戏时长 58小时25分钟
221,游戏时长 1000小时以上
222,游戏时长 87小时59分钟
223,游戏时长 56小时38分钟
224,游戏时长 11小时50分钟
225,游戏时长 83小时13分钟
226,游戏时长 148小时29分钟
227,游戏时长 35小时5分钟
228,游戏时长 9小时33分钟
229,游戏时长 5小时52分钟
230,游戏时长 56小时42分钟
231,游戏时长 184小时2分钟
232,游戏时长 79小时3分钟
233,游戏时长 83小时
234,游戏时长 59小时56分钟
235,游戏时长 121小时53分钟
236,游戏时长 208小时13分钟
237,游戏时长 107小时44分钟
238,游戏时长 37小时47分钟
239,游戏时长 43小时41分钟
240,游戏时长 118小时28分钟
241,游戏时长 440小时56分钟
242,游戏时长 85小时53分钟
243,游戏时长 231小时
244,游戏时长 20小时38分钟
245,游戏时长 365小时
246,游戏时长 199小时51分钟
247,游戏时长 250小时40分钟
248,游戏时长 102小时35分钟
249,游戏时长 337小时57分钟
250,游戏时长 71小时27分钟
251,游戏时长 12小时16分钟
252,游戏时长 38小时24分钟
253,游戏时长 114小时42分钟
254,游戏时长 163小时11分钟
255,游戏时长 2分钟
256,游戏时长 91小时37分钟
257,游戏时长 195小时27分钟
258,游戏时长 20小时33分钟
259,游戏时长 121小时47分钟
260,游戏时长 3小时1分钟
261,游戏时长 423小时33分钟
262,游戏时长 18小时57分钟
263,游戏时长 2小时21分钟
264,游戏时长 92小时4分钟
265,游戏时长 2分钟
266,游戏时长 176小时33分钟
267,游戏时长 45分钟
268,游戏时长 120小时50分钟
269,游戏时长 58分钟
270,游戏时长 242小时42分钟
271,游戏时长 192小时16分钟
272,游戏时长 13分钟
273,游戏时长 249小时7分钟
274,游戏时长 130小时33分钟
275,游戏时长 54小时44分钟
276,游戏时长 17小时49分钟
277,游戏时长 88小时7分钟
278,游戏时长 193小时
279,游戏时长 20小时19分钟
280,游戏时长 12分钟
281,游戏时长 209小时41分钟
282,游戏时长 282小时35分钟
283,游戏时长 95小时26分钟
284,游戏时长 3小时20分钟
285,游戏时长 1小时50分钟
286,游戏时长 69小时27分钟
287,游戏时长 94小时53分钟
288,游戏时长 104小时47分钟
289,游戏时长 159小时38分钟
290,游戏时长 220小时38分钟
291,游戏时长 55小时46分钟
292,游戏时长 195小时9分钟
293,游戏时长 34小时18分钟
294,游戏时长 6小时25分钟
295,游戏时长 196小时12分钟
296,游戏时长 280小时51分钟
297,游戏时长 158小时11分钟
298,游戏时长 38小时13分钟
299,游戏时长 197小时15分钟
300,游戏时长 125小时47分钟
301,游戏时长 101小时4分钟
302,游戏时长 4小时16分钟
303,游戏时长 7分钟
304,游戏时长 14小时53分钟
305,游戏时长 238小时58分钟
306,游戏时长 374小时25分钟
307,游戏时长 18小时57分钟
308,游戏时长 41小时18分钟
309,游戏时长 12小时46分钟
310,游戏时长 67小时55分钟
311,游戏时长 20分钟
312,游戏时长 12小时50分钟
313,游戏时长 68小时50分钟
314,游戏时长 132小时49分钟
315,游戏时长 7分钟
316,游戏时长 291小时42分钟
317,游戏时长 58小时2分钟
318,游戏时长 168小时
319,游戏时长 38小时30分钟
320,游戏时长 87小时19分钟
321,游戏时长 28小时42分钟
322,游戏时长 130小时37分钟
323,游戏时长 135小时31分钟
324,游戏时长 92小时45分钟
325,游戏时长 121小时22分钟
326,游戏时长 4小时29分钟
327,游戏时长 16小时21分钟
328,游戏时长 5小时50分钟
329,游戏时长 46小时19分钟
330,游戏时长 293小时56分钟
331,游戏时长 23小时34分钟
332,游戏时长 24小时13分钟
333,游戏时长 82小时59分钟
334,游戏时长 180小时30分钟
335,游戏时长 228小时47分钟
336,游戏时长 110小时10分钟
337,游戏时长 136小时31分钟
338,游戏时长 104小时12分钟
339,游戏时长 56小时39分钟
340,游戏时长 40小时56分钟
341,游戏时长 134小时38分钟
342,游戏时长 185小时57分钟
343,游戏时长 252小时8分钟
344,游戏时长 46小时12分钟
345,游戏时长 103小时44分钟
346,游戏时长 127小时22分钟
347,游戏时长 23小时11分钟
348,游戏时长 179小时54分钟
349,游戏时长 67小时59分钟
350,游戏时长 51小时8分钟
351,游戏时长 2分钟
352,游戏时长 87小时35分钟
353,游戏时长 5分钟
354,游戏时长 155小时9分钟
355,游戏时长 114小时58分钟
356,游戏时长 37小时
357,游戏时长 14小时12分钟
358,游戏时长 21小时13分钟
359,游戏时长 193小时29分钟
360,游戏时长 49小时55分钟
361,游戏时长 158小时15分钟
362,游戏时长 125小时55分钟
363,游戏时长 35小时22分钟
364,游戏时长 179小时22分钟
365,游戏时长 51小时17分钟
366,游戏时长 67小时34分钟
367,游戏时长 14小时42分钟
368,游戏时长 12小时33分钟
369,游戏时长 265小时40分钟
370,游戏时长 99小时28分钟
371,游戏时长 213小时42分钟
372,游戏时长 98小时58分钟
373,游戏时长 41分钟
374,游戏时长 19小时6分钟
375,游戏时长 175小时42分钟
376,游戏时长 131小时37分钟
377,游戏时长 173小时14分钟
378,游戏时长 8小时31分钟
379,游戏时长 87小时26分钟
380,游戏时长 118小时23分钟
381,游戏时长 144小时22分钟
382,游戏时长 83小时33分钟
383,游戏时长 135小时25分钟
384,游戏时长 87小时13分钟
385,游戏时长 141小时22分钟
386,游戏时长 30小时59分钟
387,游戏时长 22小时1分钟
388,游戏时长 122小时27分钟
389,游戏时长 65小时58分钟
390,游戏时长 139小时23分钟
391,游戏时长 84小时36分钟
392,游戏时长 18小时38分钟
393,游戏时长 36小时58分钟
394,游戏时长 61小时6分钟
395,游戏时长 248小时58分钟
396,游戏时长 185小时
397,游戏时长 67小时24分钟
398,游戏时长 32分钟
399,游戏时长 28小时44分钟
400,游戏时长 113小时47分钟
401,游戏时长 106小时35分钟
402,游戏时长 106小时33分钟
403,游戏时长 57小时41分钟
404,游戏时长 202小时35分钟
405,游戏时长 15小时27分钟
406,游戏时长 158小时36分钟
407,游戏时长 62小时19分钟
408,游戏时长 345小时22分钟
409,游戏时长 109小时55分钟
410,游戏时长 214小时44分钟
411,游戏时长 185小时56分钟
412,游戏时长 113小时50分钟
413,游戏时长 46小时8分钟
414,游戏时长 93小时44分钟
415,游戏时长 218小时59分钟
416,游戏时长 2小时5分钟
417,游戏时长 144小时38分钟
418,游戏时长 79小时11分钟
419,游戏时长 3分钟
420,游戏时长 1小时56分钟
421,游戏时长 218小时5分钟
422,游戏时长 173小时39分钟
423,游戏时长 189小时16分钟
424,游戏时长 151小时8分钟
425,游戏时长 72小时5分钟
426,游戏时长 6小时19分钟
427,游戏时长 18分钟
428,游戏时长 323小时
429,游戏时长 405小时5分钟
430,游戏时长 21分钟
431,游戏时长 347小时34分钟
432,游戏时长 353小时7分钟
433,游戏时长 623小时59分钟
434,游戏时长 121小时55分钟
435,游戏时长 15小时24分钟
436,游戏时长 119小时12分钟
437,游戏时长 16小时45分钟
438,游戏时长 36分钟
439,游戏时长 78小时41分钟
440,游戏时长 38小时34分钟
441,游戏时长 317小时55分钟
442,游戏时长 260小时9分钟
443,游戏时长 33小时32分钟
444,游戏时长 216小时16分钟
445,游戏时长 281小时51分钟
446,游戏时长 4小时55分钟
447,游戏时长 75小时27分钟
448,游戏时长 14小时41分钟
449,游戏时长 189小时57分钟
450,游戏时长 200小时55分钟
451,游戏时长 289小时32分钟
452,游戏时长 88小时47分钟
453,游戏时长 1小时25分钟
454,游戏时长 117小时58分钟
455,游戏时长 2小时8分钟
456,游戏时长 3小时38分钟
457,游戏时长 7小时31分钟
458,游戏时长 114小时57分钟
459,游戏时长 70小时22分钟
460,游戏时长 25小时48分钟
461,游戏时长 25分钟
462,游戏时长 15小时8分钟
463,游戏时长 52小时14分钟
464,游戏时长 193小时25分钟
465,游戏时长 2分钟
466,游戏时长 23分钟
467,游戏时长 59小时41分钟
468,游戏时长 169小时23分钟
469,游戏时长 2分钟
470,游戏时长 193小时25分钟
471,游戏时长 175小时1分钟
472,游戏时长 158小时22分钟
473,游戏时长 282小时7分钟
474,游戏时长 63小时14分钟
475,游戏时长 65小时3分钟
476,游戏时长 142小时44分钟
477,游戏时长 234小时5分钟
478,游戏时长 143小时34分钟
479,游戏时长 7小时47分钟
480,游戏时长 48小时36分钟
481,游戏时长 158小时46分钟
482,游戏时长 280小时33分钟
483,游戏时长 12小时47分钟
484,游戏时长 116小时
485,游戏时长 52小时30分钟
486,游戏时长 164小时5分钟
487,游戏时长 179小时20分钟
488,游戏时长 263小时16分钟
489,游戏时长 10小时42分钟
490,游戏时长 139小时44分钟
491,游戏时长 58小时33分钟
492,游戏时长 16分钟
493,游戏时长 379小时48分钟
494,游戏时长 98小时42分钟
495,游戏时长 222小时44分钟
496,游戏时长 171小时38分钟
497,游戏时长 231小时3分钟
498,游戏时长 150小时26分钟
499,游戏时长 357小时31分钟
500,游戏时长 65小时15分钟
501,游戏时长 117小时13分钟
502,游戏时长 170小时23分钟
503,游戏时长 357小时57分钟
504,游戏时长 69小时19分钟
505,游戏时长 69小时4分钟
506,游戏时长 211小时5分钟
507,游戏时长 180小时32分钟
508,游戏时长 527小时6分钟
509,游戏时长 180小时32分钟
510,游戏时长 69小时4分钟
511,游戏时长 338小时23分钟
512,游戏时长 210小时18分钟
513,游戏时长 197小时55分钟
514,游戏时长 134小时38分钟
